conflict_group_id,occurrences,label_count,labels,label_counts,source_file_count,source_files
1,5,2,BENIGN | DDoS,BENIGN: 1 | DDoS: 4,2,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
81,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
82,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
83,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
84,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
85,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
86,8,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 7,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
87,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
88,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
89,8,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 7,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
90,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
91,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
92,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
93,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
94,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
95,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
96,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
97,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
98,7,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 6,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
99,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
100,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
101,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
102,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
103,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
104,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
105,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
106,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
107,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
108,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
109,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
110,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
111,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
112,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
113,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
114,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
115,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
116,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
117,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
118,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
119,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
120,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
121,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
122,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
123,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
124,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
125,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
126,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
127,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
128,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
129,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
